,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
261001_at,-0.385859553,2.618150708,-4.664738713,0.000609238,0.969030693,-2.952088601,FALSE
262374_s_at,-0.709356964,3.192172956,-4.213949986,0.001313171,0.969030693,-3.110569468,FALSE
260333_at,0.501545537,2.664798199,4.106514867,0.001582842,0.969030693,-3.151416957,FALSE
255939_at,-0.328743555,4.280267965,-4.053961673,0.001735119,0.969030693,-3.171840995,FALSE
249771_at,0.562046648,3.282752856,4.047366424,0.001755276,0.969030693,-3.174424801,FALSE
255814_at,0.524639126,3.56953348,3.935250727,0.002137636,0.969030693,-3.219055807,FALSE
257406_at,-0.499060952,4.212439437,-3.832314708,0.002564638,0.969030693,-3.261213828,FALSE
264752_at,-0.417555342,2.982976073,-3.728058226,0.003087451,0.969030693,-3.305067674,FALSE
254917_at,0.378816053,4.164203824,3.650526393,0.003546531,0.969030693,-3.338432367,FALSE
246271_at,-0.468392672,3.669593127,-3.644447243,0.00358537,0.969030693,-3.341075474,FALSE
249954_at,-0.4283545,4.029429913,-3.632822218,0.00366086,0.969030693,-3.346140751,FALSE
246317_at,-0.443767625,6.105916396,-3.569568805,0.004101156,0.969030693,-3.373952277,FALSE
255534_at,-0.327198681,2.734558784,-3.538146253,0.004339705,0.969030693,-3.387925072,FALSE
266069_at,-0.492233879,4.259170381,-3.502020365,0.004631582,0.969030693,-3.404117186,FALSE
257127_at,-0.748030703,4.916611036,-3.500068716,0.00464791,0.969030693,-3.404995822,FALSE
246674_at,-0.260162149,5.531955635,-3.492072248,0.004715429,0.969030693,-3.408599989,FALSE
246893_at,0.516397021,5.575618361,3.490342432,0.004730166,0.969030693,-3.409380527,FALSE
254744_at,0.500301247,3.814390284,3.490234924,0.004731084,0.969030693,-3.409429047,FALSE
249230_at,0.343836662,2.754715623,3.474429598,0.004867964,0.969030693,-3.4165754,FALSE
246796_at,-0.415376186,5.342268249,-3.469799721,0.004908822,0.969030693,-3.418673701,FALSE
245491_at,0.382150644,4.014508957,3.457984838,0.00501468,0.969030693,-3.424038374,FALSE
252963_at,-0.417620926,3.068046736,-3.451929775,0.005069832,0.969030693,-3.426793335,FALSE
AFFX-DapX-5_at,1.004576459,6.947811547,3.451588374,0.00507296,0.969030693,-3.426948779,FALSE
262185_at,-0.355551681,2.503103628,-3.450563654,0.00508236,0.969030693,-3.427415422,FALSE
264180_at,-0.364444501,2.710275032,-3.441176841,0.005169305,0.969030693,-3.431695083,FALSE
259222_at,0.307307477,3.587894653,3.437960581,0.005199443,0.969030693,-3.433163538,FALSE
